"Player","EH_ID","API ID","Season","Team","Position","Catches","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Alexei Melnichuk","ALEXEI.MELNICHUK","8482246","20-21","S.J","G","L",1998-06-29,22,2016,NA,NA,3,130.58,11.62,89.24,110.88,9.3,86.98,89.52,91.61,-2.09,-3.4,-2.32
"Allen York","ALLEN.YORK","8474057","11-12","CBJ","G","L",1989-06-17,22,2007,6,158,11,416.7,15.67,200.11,267.82,14.72,92.17,94.15,94.5,-0.35,1.64,-0.95
"Anders Lindback","ANDERS.LINDBACK","8474765","10-11","NSH","G","L",1988-05-03,22,2008,7,207,22,1131.05,47.6,560.06,781.7,44.46,91.5,93.91,94.31,-0.4,1.25,-3.14
"Anders Lindback","ANDERS.LINDBACK","8474765","11-12","NSH","G","L",1988-05-03,23,2008,7,207,16,792.42,31.88,371.17,543.14,34.54,91.41,94.13,93.64,0.49,0.25,2.66
"Anders Lindback","ANDERS.LINDBACK","8474765","12-13","T.B","G","L",1988-05-03,24,2008,7,207,24,1304.18,63.1,648.28,924.11,54.15,90.27,93.17,94.14,-0.97,-5.99,-8.95
"Anders Lindback","ANDERS.LINDBACK","8474765","13-14","T.B","G","L",1988-05-03,25,2008,7,207,23,1302.32,62.34,582.78,858.94,51.69,89.3,92.74,93.98,-1.24,-12.23,-10.65
"Anders Lindback","ANDERS.LINDBACK","8474765","14-15","BUF/DAL","G","L",1988-05-03,26,2008,7,207,26,1407.96,72.79,808.51,1101.95,61.14,91,93.39,94.45,-1.06,-3.84,-11.65
"Anders Lindback","ANDERS.LINDBACK","8474765","15-16","ARI","G","L",1988-05-03,27,2008,7,207,19,906.13,47.89,458.9,640.04,37.9,89.56,92.52,94.08,-1.56,-8.79,-9.99
"Anders Nilsson","ANDERS.NILSSON","8475195","11-12","NYI","G","L",1990-03-19,21,2009,3,62,4,217.8,10.21,118.65,156.51,11.69,91.39,93.48,92.53,0.95,0.06,1.48
"Anders Nilsson","ANDERS.NILSSON","8475195","13-14","NYI","G","L",1990-03-19,23,2009,3,62,19,1101.17,57.11,552.47,802.94,56.64,89.66,92.89,92.95,-0.06,-9.6,-0.47
"Anders Nilsson","ANDERS.NILSSON","8475195","15-16","EDM/STL","G","L",1990-03-19,25,2009,3,62,29,1500.58,76.75,790.56,1096.51,73.04,90.29,93,93.34,-0.34,-9.4,-3.71
"Anders Nilsson","ANDERS.NILSSON","8475195","16-17","BUF","G","L",1990-03-19,26,2009,3,62,26,1484.25,64.98,858.16,1196.08,75.82,92.43,94.57,93.66,0.91,9.21,10.84
"Anders Nilsson","ANDERS.NILSSON","8475195","17-18","VAN","G","L",1990-03-19,27,2009,3,62,27,1463.68,84.13,863.71,1170.63,73.55,90.26,92.81,93.72,-0.9,-8.37,-10.58
"Anders Nilsson","ANDERS.NILSSON","8475195","18-19","OTT/VAN","G","L",1990-03-19,28,2009,3,62,36,2039.8,100.71,1107.58,1559.47,92.11,90.91,93.54,94.09,-0.55,-0.86,-8.6
"Anders Nilsson","ANDERS.NILSSON","8475195","19-20","OTT","G","L",1990-03-19,29,2009,3,62,20,1093.27,57.3,620.99,825.69,50.51,90.77,93.06,93.88,-0.82,-1.18,-6.79
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","14-15","T.B","G","L",1994-07-25,20,2012,1,19,16,864.12,33.25,412.93,563.48,32.61,91.95,94.1,94.21,-0.11,1.96,-0.64
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","15-16","T.B","G","L",1994-07-25,21,2012,1,19,24,1258.63,56.9,635.74,886.07,49.8,91.05,93.58,94.38,-0.8,-2.73,-7.1
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","16-17","T.B","G","L",1994-07-25,22,2012,1,19,50,2831.27,125.16,1500.55,2007.44,113.59,91.66,93.77,94.34,-0.58,4.56,-11.57
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","17-18","T.B","G","L",1994-07-25,23,2012,1,19,65,3825.18,168.43,2050.46,2734.75,151.69,91.79,93.84,94.45,-0.61,11.42,-16.74
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","18-19","T.B","G","L",1994-07-25,24,2012,1,19,53,3203.75,128.53,1692.69,2268.18,135.55,92.41,94.33,94.02,0.31,24.06,7.02
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","19-20","T.B","G","L",1994-07-25,25,2012,1,19,52,3121.9,132.82,1578.79,2096.53,124.53,91.59,93.66,94.06,-0.4,9.84,-8.29
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","20-21","T.B","G","L",1994-07-25,26,2012,1,19,42,2523.62,91.62,1207.78,1608.44,104.66,92.41,94.3,93.49,0.81,19.53,13.04
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","21-22","T.B","G","L",1994-07-25,27,2012,1,19,63,3760.75,154.97,1862.28,2561.07,172.88,91.68,93.95,93.25,0.7,17.87,17.91
"Andrew Hammond","ANDREW.HAMMOND","8477202","13-14","OTT","G","L",1988-02-11,25,2006,NA,NA,1,19.58,0,3.64,4.85,0.19,100,100,96.08,3.92,0.31,0.19
"Andrew Hammond","ANDREW.HAMMOND","8477202","14-15","OTT","G","L",1988-02-11,26,2006,NA,NA,24,1410.98,42.75,700.14,958.05,56.47,93.89,95.54,94.11,1.43,16.95,13.72
"Andrew Hammond","ANDREW.HAMMOND","8477202","15-16","OTT","G","L",1988-02-11,27,2006,NA,NA,24,1382.32,61.72,721.31,999.47,62.68,91.44,93.82,93.73,0.1,-0.27,0.96
"Andrew Hammond","ANDREW.HAMMOND","8477202","16-17","OTT","G","L",1988-02-11,28,2006,NA,NA,6,190.08,13.37,85.73,122.96,9.21,84.4,89.13,92.51,-3.38,-5.96,-4.16
"Andrew Hammond","ANDREW.HAMMOND","8477202","17-18","COL","G","L",1988-02-11,29,2006,NA,NA,1,58.37,2.13,36.68,51.14,3.54,94.19,95.83,93.08,2.76,1.09,1.41
"Andrew Hammond","ANDREW.HAMMOND","8477202","21-22","MTL/N.J","G","L",1988-02-11,33,2006,NA,NA,11,586.47,38.27,314.05,435.68,32.06,87.81,91.22,92.64,-1.43,-9.12,-6.21
"Andrew Raycroft","ANDREW.RAYCROFT","8467453","07-08","TOR","G","L",1980-05-04,27,1998,5,135,19,964.7,64.72,520.46,726.07,51.81,87.56,91.09,92.86,-1.78,-17.34,-12.91
"Andrew Raycroft","ANDREW.RAYCROFT","8467453","08-09","COL","G","L",1980-05-04,28,1998,5,135,31,1722.43,90.57,847.8,1216.42,67.76,89.32,92.55,94.43,-1.88,-13,-22.81
"Andrew Raycroft","ANDREW.RAYCROFT","8467453","09-10","VAN","G","L",1980-05-04,29,1998,5,135,21,967.08,37.77,434.2,618.78,35.44,91.3,93.9,94.27,-0.38,0.75,-2.33
"Andrew Raycroft","ANDREW.RAYCROFT","8467453","10-11","DAL","G","L",1980-05-04,30,1998,5,135,19,847.17,38.79,447.25,600.54,36.79,91.33,93.54,93.87,-0.33,0.23,-2
"Andrew Raycroft","ANDREW.RAYCROFT","8467453","11-12","DAL","G","L",1980-05-04,31,1998,5,135,10,529.38,31.21,312.23,421.36,23.79,90,92.59,94.35,-1.76,-4.19,-7.42
"Andrey Makarov","ANDREY.MAKAROV","8477092","14-15","BUF","G","L",1993-04-20,21,2011,NA,NA,1,60,2.91,37.06,55.55,4.09,92.15,94.76,92.64,2.12,0.25,1.18
"Antero Niittymaki","ANTERO.NIITTYMAKI","8467511","07-08","PHI","G","L",1980-06-18,27,1998,6,168,28,1424.87,70.5,739.17,990.61,61.37,90.46,92.88,93.8,-0.92,-3.21,-9.13
"Antero Niittymaki","ANTERO.NIITTYMAKI","8467511","08-09","PHI","G","L",1980-06-18,28,1998,6,168,32,1805.25,82.66,940.09,1309.25,86.37,91.21,93.69,93.4,0.28,3.35,3.71
"Antero Niittymaki","ANTERO.NIITTYMAKI","8467511","09-10","T.B","G","L",1980-06-18,29,1998,6,168,49,2657.18,127.69,1407.41,1944.54,124.46,90.93,93.43,93.6,-0.17,-2.83,-3.23
"Antero Niittymaki","ANTERO.NIITTYMAKI","8467511","10-11","S.J","G","L",1980-06-18,30,1998,6,168,24,1414.47,63.87,616.7,874.65,58.06,89.64,92.7,93.36,-0.66,-10.08,-5.81
"Anthony Stolarz","ANTHONY.STOLARZ","8476932","16-17","PHI","G","L",1994-01-20,22,2012,2,45,7,376.08,12.97,180.75,243.62,15.75,92.82,94.68,93.54,1.14,2.65,2.78
"Anthony Stolarz","ANTHONY.STOLARZ","8476932","18-19","EDM/PHI","G","L",1994-01-20,24,2012,2,45,18,868.41,50.17,523.02,667.29,43.06,90.41,92.48,93.55,-1.07,-3.02,-7.11
"Anthony Stolarz","ANTHONY.STOLARZ","8476932","19-20","ANA","G","L",1994-01-20,25,2012,2,45,1,58.55,2.05,37.69,52.91,3.03,94.56,96.13,94.27,1.85,1.36,0.98
"Anthony Stolarz","ANTHONY.STOLARZ","8476932","20-21","ANA","G","L",1994-01-20,26,2012,2,45,8,464.3,16.98,226.85,305.8,18.64,92.51,94.45,93.9,0.54,3.89,1.66
"Anthony Stolarz","ANTHONY.STOLARZ","8476932","21-22","ANA","G","L",1994-01-20,27,2012,2,45,28,1506.42,67.02,817.13,1120.82,71.57,91.8,94.02,93.61,0.41,8.82,4.55
"Antoine Bibeau","ANTOINE.BIBEAU","8477312","16-17","TOR","G","L",1994-05-01,22,2013,6,172,2,120.65,4.14,56.17,88.49,4.67,92.63,95.32,94.72,0.6,0.72,0.53
"Antoine Bibeau","ANTOINE.BIBEAU","8477312","19-20","COL","G","L",1994-05-01,25,2013,6,172,2,91.75,4.79,40.3,64.62,4.22,88.11,92.59,93.47,-0.88,-1.15,-0.57
"Anton Forsberg","ANTON.FORSBERG","8476341","14-15","CBJ","G","L",1992-11-27,21,2011,7,188,5,255.72,20.68,157.64,191.2,15.98,86.88,89.18,91.64,-2.46,-7.24,-4.7
"Anton Forsberg","ANTON.FORSBERG","8476341","15-16","CBJ","G","L",1992-11-27,22,2011,7,188,4,178.15,8.74,100.85,133.89,10.42,91.33,93.47,92.22,1.25,-0.15,1.68
"Anton Forsberg","ANTON.FORSBERG","8476341","16-17","CBJ","G","L",1992-11-27,23,2011,7,188,1,58.58,3.86,26.98,38.79,2.25,85.69,90.05,94.2,-4.15,-1.53,-1.61
"Anton Forsberg","ANTON.FORSBERG","8476341","17-18","CHI","G","L",1992-11-27,24,2011,7,188,35,1714.78,84.86,927.54,1209.65,80.17,90.85,92.98,93.37,-0.39,-3.5,-4.69
"Anton Forsberg","ANTON.FORSBERG","8476341","19-20","CAR","G","L",1992-11-27,26,2011,7,188,3,143.15,7.99,80.05,100.47,6.42,90.02,92.05,93.61,-1.56,-0.76,-1.57
"Anton Forsberg","ANTON.FORSBERG","8476341","20-21","OTT","G","L",1992-11-27,27,2011,7,188,8,448.55,23.71,266.15,362.06,23.63,91.09,93.45,93.47,-0.02,0.78,-0.08
"Anton Forsberg","ANTON.FORSBERG","8476341","21-22","OTT","G","L",1992-11-27,28,2011,7,188,46,2571.45,119.85,1437.92,1932.3,131.34,91.67,93.8,93.2,0.59,13.6,11.49
"Anton Khudobin","ANTON.KHUDOBIN","8471418","09-10","MIN","G","L",1986-05-07,23,2004,7,206,2,69.45,1.01,48.18,61.22,3.46,97.9,98.35,94.35,4,3.26,2.45
"Anton Khudobin","ANTON.KHUDOBIN","8471418","10-11","MIN","G","L",1986-05-07,24,2004,7,206,4,188.73,5.17,83.96,113.99,6.23,93.84,95.46,94.53,0.93,2.16,1.06
"Anton Khudobin","ANTON.KHUDOBIN","8471418","11-12","BOS","G","L",1986-05-07,25,2004,7,206,1,60,0.94,40.69,57.07,2.7,97.69,98.35,95.27,3.08,2.58,1.76
"Anton Khudobin","ANTON.KHUDOBIN","8471418","12-13","BOS","G","L",1986-05-07,26,2004,7,206,14,803,30.32,373.96,510.81,28.37,91.89,94.06,94.45,-0.38,2.62,-1.95
"Anton Khudobin","ANTON.KHUDOBIN","8471418","13-14","CAR","G","L",1986-05-07,27,2004,7,206,36,2084.3,80.15,1072,1540.58,96.14,92.52,94.8,93.76,1.04,12.03,15.99
"Anton Khudobin","ANTON.KHUDOBIN","8471418","14-15","CAR","G","L",1986-05-07,28,2004,7,206,34,1920.35,86.26,893.72,1272.81,85.83,90.35,93.22,93.26,-0.03,-10.05,-0.43
"Anton Khudobin","ANTON.KHUDOBIN","8471418","15-16","ANA","G","L",1986-05-07,29,2004,7,206,9,356.33,16.51,176.85,253.69,18.76,90.66,93.49,92.61,0.89,-1.45,2.25
"Anton Khudobin","ANTON.KHUDOBIN","8471418","16-17","BOS","G","L",1986-05-07,30,2004,7,206,16,884.78,39.91,415.3,574.81,36.9,90.39,93.06,93.58,-0.52,-4.01,-3.01
"Anton Khudobin","ANTON.KHUDOBIN","8471418","17-18","BOS","G","L",1986-05-07,31,2004,7,206,31,1780.72,75.13,863.7,1194.88,74.18,91.3,93.71,93.79,-0.08,0.62,-0.95
"Anton Khudobin","ANTON.KHUDOBIN","8471418","18-19","DAL","G","L",1986-05-07,32,2004,7,206,41,2219.5,94.58,1233.47,1691.67,103.15,92.33,94.41,93.9,0.51,16.61,8.57
"Anton Khudobin","ANTON.KHUDOBIN","8471418","19-20","DAL","G","L",1986-05-07,33,2004,7,206,30,1677.48,60.54,872.25,1181.56,66.69,93.06,94.88,94.36,0.52,18.28,6.15
"Anton Khudobin","ANTON.KHUDOBIN","8471418","20-21","DAL","G","L",1986-05-07,34,2004,7,206,32,1794.62,76.42,795.06,1134.39,66.62,90.39,93.26,94.13,-0.86,-3.26,-9.8
"Anton Khudobin","ANTON.KHUDOBIN","8471418","21-22","DAL","G","L",1986-05-07,35,2004,7,206,9,462.47,27.15,229.71,308.24,19.37,88.18,91.19,93.72,-2.52,-5.83,-7.78
"Antti Niemi","ANTTI.NIEMI","8474550","08-09","CHI","G","L",1983-08-29,25,2001,NA,NA,3,141.32,8.45,62.35,75.13,5.38,86.45,88.75,92.84,-4.09,-2.75,-3.07
"Antti Niemi","ANTTI.NIEMI","8474550","09-10","CHI","G","L",1983-08-29,26,2001,NA,NA,39,2190.92,81.05,905.48,1212.81,81.85,91.05,93.32,93.25,0.07,-0.72,0.8
"Antti Niemi","ANTTI.NIEMI","8474550","10-11","S.J","G","L",1983-08-29,27,2001,NA,NA,60,3523.9,138.84,1715.25,2350.53,142.5,91.91,94.09,93.94,0.16,10.78,3.66
"Antti Niemi","ANTTI.NIEMI","8474550","11-12","S.J","G","L",1983-08-29,28,2001,NA,NA,68,3934.12,158.58,1863.85,2633.02,155.27,91.49,93.98,94.1,-0.13,2.73,-3.31
"Antti Niemi","ANTTI.NIEMI","8474550","12-13","S.J","G","L",1983-08-29,29,2001,NA,NA,43,2580.77,92.3,1211.18,1707.33,102.48,92.38,94.59,94,0.6,14.39,10.18
"Antti Niemi","ANTTI.NIEMI","8474550","13-14","S.J","G","L",1983-08-29,30,2001,NA,NA,64,3740.28,146.6,1658.6,2364.13,137.8,91.16,93.8,94.17,-0.37,-3.98,-8.8
"Antti Niemi","ANTTI.NIEMI","8474550","14-15","S.J","G","L",1983-08-29,31,2001,NA,NA,61,3587.9,155.55,1795.29,2533.81,153.29,91.34,93.86,93.95,-0.09,-2.45,-2.26
"Antti Niemi","ANTTI.NIEMI","8474550","15-16","DAL","G","L",1983-08-29,32,2001,NA,NA,48,2654.38,118.12,1246.68,1809.77,119.79,90.53,93.47,93.38,0.09,-11.9,1.67
"Antti Niemi","ANTTI.NIEMI","8474550","16-17","DAL","G","L",1983-08-29,33,2001,NA,NA,37,1728.5,95.6,897.82,1283.37,85.99,89.35,92.55,93.3,-0.75,-17.98,-9.61
"Antti Niemi","ANTTI.NIEMI","8474550","17-18","FLA/MTL/PIT","G","L",1983-08-29,34,2001,NA,NA,24,1213.1,62.83,717.83,1014.9,67.72,91.25,93.81,93.33,0.48,0.14,4.89
"Antti Niemi","ANTTI.NIEMI","8474550","18-19","MTL","G","L",1983-08-29,35,2001,NA,NA,17,968.8,59.83,534.49,710.83,42.18,88.81,91.58,94.07,-2.48,-11.65,-17.65
