"Player","EH_ID","API ID","Season","Team","Position","Catches","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI_EV","TOI_SH","FA_EV","FA_SH","EVD_GAR","SHD_GAR","Take_GAR","Draw_GAR","GAR","WAR","SPAR"
"Al Montoya","AL.MONTOYA","8471219","11-12","NYI","G","L",1985-02-13,26,2004,1,6,31,1719.7,145.6,919,159,-2.5,-0.8,-0.3,0.1,-3.4,-0.6,-1.1
"Al Montoya","AL.MONTOYA","8471219","12-13","WPG","G","L",1985-02-13,27,2004,1,6,7,351.4,28.3,216,27,-0.2,0,0,0.1,-0.1,0,0
"Al Montoya","AL.MONTOYA","8471219","13-14","WPG","G","L",1985-02-13,28,2004,1,6,28,1540.9,121.8,836,123,7.4,1.2,0.1,0,8.7,1.6,3.1
"Al Montoya","AL.MONTOYA","8471219","14-15","FLA","G","L",1985-02-13,29,2004,1,6,20,976.9,74.2,545,77,-3.5,-0.2,0.1,-0.2,-3.9,-0.7,-1.4
"Al Montoya","AL.MONTOYA","8471219","15-16","FLA","G","L",1985-02-13,30,2004,1,6,25,1351.2,110.6,699,130,5.8,2.5,-0.1,0.1,8.3,1.6,3.1
"Al Montoya","AL.MONTOYA","8471219","16-17","MTL","G","L",1985-02-13,31,2004,1,6,19,1124.9,81.7,642,105,1.2,-1.1,0.1,-0.2,0,0,0
"Al Montoya","AL.MONTOYA","8471219","17-18","EDM/MTL","G","L",1985-02-13,32,2004,1,6,13,691.7,52.7,400,56,5.4,-1.6,0,0.1,4,0.8,1.5
"Alex Auld","ALEX.AULD","8467913","07-08","ARI/BOS","G","L",1981-01-07,26,1999,2,40,31,1661.7,188.8,814,226,6.2,-3.9,0.2,-0.1,2.4,0.4,0.8
"Alex Auld","ALEX.AULD","8467913","08-09","OTT","G","L",1981-01-07,27,1999,2,40,43,2449.4,286.4,1139,304,14.2,0.3,0.1,-0.3,14.2,2.6,5
"Alex Auld","ALEX.AULD","8467913","09-10","DAL/NYR","G","L",1981-01-07,28,1999,2,40,24,1299.5,103.2,716,125,-5.6,-1.8,-0.1,0,-7.4,-1.3,-2.6
"Alex Auld","ALEX.AULD","8467913","10-11","MTL","G","L",1981-01-07,29,1999,2,40,16,748.6,83.7,414,102,1.7,4.3,-0.1,0.5,6.4,1.1,2.2
"Alex Auld","ALEX.AULD","8467913","11-12","OTT","G","L",1981-01-07,30,1999,2,40,14,645,69,329,83,0.2,-1.8,0,0.1,-1.5,-0.3,-0.5
"Alex Lyon","ALEX.LYON","8479312","17-18","PHI","G","L",1992-12-09,24,2011,NA,NA,11,479.8,29.9,290,31,0.2,0.1,0,-0.1,0.3,0.1,0.1
"Alex Lyon","ALEX.LYON","8479312","18-19","PHI","G","L",1992-12-09,25,2011,NA,NA,2,70.8,5.2,35,4,-0.2,0,0,0,-0.2,0,-0.1
"Alex Lyon","ALEX.LYON","8479312","19-20","PHI","G","L",1992-12-09,26,2011,NA,NA,3,135.3,8.9,79,11,0.2,0,0,0,0.2,0,0.1
"Alex Lyon","ALEX.LYON","8479312","20-21","PHI","G","L",1992-12-09,27,2011,NA,NA,6,264.9,28.5,182,29,3.8,-2,0,0,1.8,0.3,0.6
"Alex Lyon","ALEX.LYON","8479312","21-22","CAR","G","L",1992-12-09,28,2011,NA,NA,2,98.8,11.8,74,15,0.8,0.3,0,0,1.1,0.2,0.4
"Alex Nedeljkovic","ALEX.NEDELJKOVIC","8477968","16-17","CAR","G","L",1996-01-07,20,2014,2,37,1,30,5.4,21,2,0.2,0,-0.2,0,0,0,0
"Alex Nedeljkovic","ALEX.NEDELJKOVIC","8477968","18-19","CAR","G","L",1996-01-07,22,2014,2,37,1,60,4,32,6,0.1,0,0,0,0.1,0,0
"Alex Nedeljkovic","ALEX.NEDELJKOVIC","8477968","19-20","CAR","G","L",1996-01-07,23,2014,2,37,4,216.3,25.8,104,22,-2.3,0.1,0,0,-2.2,-0.4,-0.7
"Alex Nedeljkovic","ALEX.NEDELJKOVIC","8477968","20-21","CAR","G","L",1996-01-07,24,2014,2,37,23,1160.7,118,738,112,18.8,3.9,-0.1,0.4,23,4.1,7.7
"Alex Nedeljkovic","ALEX.NEDELJKOVIC","8477968","21-22","DET","G","L",1996-01-07,25,2014,2,37,59,2719.5,241.1,1990,300,8.9,2.6,0.2,0.7,12.2,2.2,4.1
"Alex Pechurski","ALEX.PECHURSKI","8474708","09-10","PIT","G","L",1990-06-04,19,2008,5,150,1,35.5,7.7,15,8,0.1,0,0,0,0.1,0,0
"Alex Salak","ALEX.SALAK","8475130","09-10","FLA","G","L",1987-01-05,22,2005,NA,NA,2,66.6,16.6,28,23,0.2,-0.1,0,0,0,0,0
"Alex Stalock","ALEX.STALOCK","8471774","10-11","S.J","G","L",1987-07-28,23,2005,4,112,1,29.8,4,9,6,0.1,0,0,0,0.1,0,0
"Alex Stalock","ALEX.STALOCK","8471774","12-13","S.J","G","L",1987-07-28,25,2005,4,112,2,41.8,4,17,3,0.1,0,0,0,0.1,0,0
"Alex Stalock","ALEX.STALOCK","8471774","13-14","S.J","G","L",1987-07-28,26,2005,4,112,24,1233,94,657,81,9.1,3.2,-0.1,-0.3,11.8,2.2,4.2
"Alex Stalock","ALEX.STALOCK","8471774","14-15","S.J","G","L",1987-07-28,27,2005,4,112,22,1236.5,76.4,650,86,3.6,-2.9,0.1,0.4,1.2,0.2,0.4
"Alex Stalock","ALEX.STALOCK","8471774","15-16","S.J","G","L",1987-07-28,28,2005,4,112,13,674.1,57.1,289,66,-6,-0.5,0,0.2,-6.2,-1.2,-2.3
"Alex Stalock","ALEX.STALOCK","8471774","16-17","MIN","G","L",1987-07-28,29,2005,4,112,2,118.9,12,58,18,0.5,0.2,0,0,0.7,0.1,0.2
"Alex Stalock","ALEX.STALOCK","8471774","17-18","MIN","G","L",1987-07-28,30,2005,4,112,28,1495.3,162.3,849,229,-5.1,3.6,0.1,0.4,-1,-0.2,-0.4
"Alex Stalock","ALEX.STALOCK","8471774","18-19","MIN","G","L",1987-07-28,31,2005,4,112,21,1065.1,89.6,602,120,-1.7,-1.5,-0.3,0.4,-3.2,-0.6,-1.1
"Alex Stalock","ALEX.STALOCK","8471774","19-20","MIN","G","L",1987-07-28,32,2005,4,112,38,2177.3,161.6,1240,189,2.5,-1.5,-0.4,-0.1,0.5,0.1,0.2
"Alex Stalock","ALEX.STALOCK","8471774","21-22","S.J","G","L",1987-07-28,34,2005,4,112,1,41,2.6,36,2,-1.2,0,0,0,-1.2,-0.2,-0.4
"Alexandar Georgiev","ALEXANDAR.GEORGIEV","8480382","17-18","NYR","G","L",1996-02-10,21,2014,NA,NA,10,514.8,40.8,373,51,2.6,-0.4,-0.2,-0.1,1.9,0.4,0.7
"Alexandar Georgiev","ALEXANDAR.GEORGIEV","8480382","18-19","NYR","G","L",1996-02-10,22,2014,NA,NA,33,1874.2,175.6,1204,212,9.8,5.9,0,-0.2,15.4,2.9,5.4
"Alexandar Georgiev","ALEXANDAR.GEORGIEV","8480382","19-20","NYR","G","L",1996-02-10,23,2014,NA,NA,34,1891.7,190.2,1137,277,6.1,4.5,0.1,-0.2,10.6,1.9,3.6
"Alexandar Georgiev","ALEXANDAR.GEORGIEV","8480382","20-21","NYR","G","L",1996-02-10,24,2014,NA,NA,19,803.5,73.6,555,92,-1.9,3.7,0,-0.1,1.7,0.3,0.6
"Alexandar Georgiev","ALEXANDAR.GEORGIEV","8480382","21-22","NYR","G","L",1996-02-10,25,2014,NA,NA,33,1514.1,104.5,1006,135,8.5,-8.1,0.1,-0.2,0.3,0.1,0.1
"Alexei Melnichuk","ALEXEI.MELNICHUK","8482246","20-21","S.J","G","L",1998-06-29,22,2016,NA,NA,3,114.5,10.1,88,11,-2.4,0.1,0,0,-2.4,-0.4,-0.8
"Allen York","ALLEN.YORK","8474057","11-12","CBJ","G","L",1989-06-17,22,2007,6,158,11,416.7,39.6,206,42,-1.3,0.8,0,-0.2,-0.6,-0.1,-0.2
"Anders Lindback","ANDERS.LINDBACK","8474765","10-11","NSH","G","L",1988-05-03,22,2008,7,207,22,1131,93.7,655,116,4.5,-2.7,0.1,0,2,0.4,0.7
"Anders Lindback","ANDERS.LINDBACK","8474765","11-12","NSH","G","L",1988-05-03,23,2008,7,207,16,792.4,65.1,411,104,2.4,1.9,0,-0.3,4,0.7,1.3
"Anders Lindback","ANDERS.LINDBACK","8474765","12-13","T.B","G","L",1988-05-03,24,2008,7,207,24,1304.2,112.6,728,151,-8.1,5.6,0.1,-0.1,-2.5,-0.5,-0.8
"Anders Lindback","ANDERS.LINDBACK","8474765","13-14","T.B","G","L",1988-05-03,25,2008,7,207,23,1302.3,109.7,677,147,2.1,-6,-0.3,0.1,-4.2,-0.8,-1.5
"Anders Lindback","ANDERS.LINDBACK","8474765","14-15","BUF/DAL","G","L",1988-05-03,26,2008,7,207,26,1408,101.1,900,140,-5.9,0.3,-0.1,-0.1,-5.9,-1.1,-2.1
"Anders Lindback","ANDERS.LINDBACK","8474765","15-16","ARI","G","L",1988-05-03,27,2008,7,207,19,906.1,102.6,472,116,-4.9,-3.2,0,-0.2,-8.1,-1.6,-3
"Anders Nilsson","ANDERS.NILSSON","8475195","11-12","NYI","G","L",1990-03-19,21,2009,3,62,4,217.8,20,117,22,0.3,0.2,0,0.1,0.6,0.1,0.2
"Anders Nilsson","ANDERS.NILSSON","8475195","13-14","NYI","G","L",1990-03-19,23,2009,3,62,19,1101.2,107.7,631,142,4.9,-2.2,-0.1,-0.3,2.3,0.4,0.8
"Anders Nilsson","ANDERS.NILSSON","8475195","15-16","EDM/STL","G","L",1990-03-19,25,2009,3,62,29,1500.6,116,903,155,1.7,-2,-0.3,-0.3,-0.8,-0.2,-0.3
"Anders Nilsson","ANDERS.NILSSON","8475195","16-17","BUF","G","L",1990-03-19,26,2009,3,62,26,1484.2,125.1,948,213,17.1,1.4,0.1,-0.1,18.5,3.5,6.7
"Anders Nilsson","ANDERS.NILSSON","8475195","17-18","VAN","G","L",1990-03-19,27,2009,3,62,27,1463.7,137.6,928,179,-1.5,-3.7,0.1,-0.2,-5.3,-1,-2
"Anders Nilsson","ANDERS.NILSSON","8475195","18-19","OTT/VAN","G","L",1990-03-19,28,2009,3,62,36,2039.8,147.8,1299,177,7.3,-1.1,0.1,0.2,6.5,1.2,2.3
"Anders Nilsson","ANDERS.NILSSON","8475195","19-20","OTT","G","L",1990-03-19,29,2009,3,62,20,1093.3,107,639,142,-3.6,3,0.1,0.1,-0.5,-0.1,-0.2
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","14-15","T.B","G","L",1994-07-25,20,2012,1,19,16,864.1,61,480,69,2.2,0,0,0,2.2,0.4,0.8
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","15-16","T.B","G","L",1994-07-25,21,2012,1,19,24,1258.6,121,699,163,-0.5,-2.4,0.1,0,-2.9,-0.6,-1.1
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","16-17","T.B","G","L",1994-07-25,22,2012,1,19,50,2831.3,243.1,1585,312,-1.2,1.9,0,0,0.7,0.1,0.2
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","17-18","T.B","G","L",1994-07-25,23,2012,1,19,65,3825.2,325.5,2212,432,6,-5.6,0.1,-0.2,0.3,0,0.1
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","18-19","T.B","G","L",1994-07-25,24,2012,1,19,53,3203.8,307.8,1840,361,14.2,8.6,-0.4,0.1,22.5,4.2,7.9
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","19-20","T.B","G","L",1994-07-25,25,2012,1,19,52,3121.9,275.8,1684,307,11.2,0.8,-0.2,0.1,11.9,2.1,4
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","20-21","T.B","G","L",1994-07-25,26,2012,1,19,42,2046.6,237.4,1342,242,19.7,4.5,0.1,-0.3,24.1,4.3,8
"Andrei Vasilevskiy","ANDREI.VASILEVSKIY","8476883","21-22","T.B","G","L",1994-07-25,27,2012,1,19,63,3095.4,309.1,2072,374,27.6,2.3,-0.4,-0.1,29.5,5.2,9.8
"Andrew Hammond","ANDREW.HAMMOND","8477202","13-14","OTT","G","L",1988-02-11,25,2006,NA,NA,1,19.6,4.8,2,2,0,0,0,0,0,0,0
"Andrew Hammond","ANDREW.HAMMOND","8477202","14-15","OTT","G","L",1988-02-11,26,2006,NA,NA,24,1411,98.5,794,128,11.4,4.8,0.1,-0.1,16.1,3.1,5.9
"Andrew Hammond","ANDREW.HAMMOND","8477202","15-16","OTT","G","L",1988-02-11,27,2006,NA,NA,24,1382.3,103.6,798,148,15.1,-7.2,-0.1,-0.1,7.7,1.5,2.8
"Andrew Hammond","ANDREW.HAMMOND","8477202","16-17","OTT","G","L",1988-02-11,28,2006,NA,NA,6,190.1,13.4,100,14,-1.6,-0.1,0,0,-1.7,-0.3,-0.6
"Andrew Hammond","ANDREW.HAMMOND","8477202","17-18","COL","G","L",1988-02-11,29,2006,NA,NA,1,58.4,4,40,5,0.3,0,0,0,0.3,0.1,0.1
"Andrew Hammond","ANDREW.HAMMOND","8477202","21-22","MTL/N.J","G","L",1988-02-11,33,2006,NA,NA,11,489.2,41.7,348,60,-3.4,1.2,0,-0.1,-2.2,-0.4,-0.7
"Andrew Raycroft","ANDREW.RAYCROFT","8467453","07-08","TOR","G","L",1980-05-04,27,1998,5,135,19,964.7,114.4,508,168,-6.7,-0.2,0.1,0.3,-6.4,-1.2,-2.2
"Andrew Raycroft","ANDREW.RAYCROFT","8467453","08-09","COL","G","L",1980-05-04,28,1998,5,135,31,1722.4,171,921,184,-7.1,-1.4,0,-0.3,-8.9,-1.6,-3.1
"Andrew Raycroft","ANDREW.RAYCROFT","8467453","09-10","VAN","G","L",1980-05-04,29,1998,5,135,21,967.1,108.5,455,95,0.7,3.1,-0.2,-0.1,3.5,0.6,1.2
"Andrew Raycroft","ANDREW.RAYCROFT","8467453","10-11","DAL","G","L",1980-05-04,30,1998,5,135,19,847.2,74,491,78,-0.2,1.8,0.1,-0.1,1.5,0.3,0.5
"Andrew Raycroft","ANDREW.RAYCROFT","8467453","11-12","DAL","G","L",1980-05-04,31,1998,5,135,10,529.4,40.3,341,52,-6.4,0.4,0,0.1,-5.9,-1,-1.9
"Andrey Makarov","ANDREY.MAKAROV","8477092","14-15","BUF","G","L",1993-04-20,21,2011,NA,NA,1,60,2.6,50,3,0.6,0,0,0,0.6,0.1,0.2
"Antero Niittymaki","ANTERO.NIITTYMAKI","8467511","07-08","PHI","G","L",1980-06-18,27,1998,6,168,28,1424.9,186.1,677,189,5.9,-2.5,0.2,-0.2,3.3,0.6,1.2
"Antero Niittymaki","ANTERO.NIITTYMAKI","8467511","08-09","PHI","G","L",1980-06-18,28,1998,6,168,32,1805.2,249.2,933,334,11.6,1.5,0,-0.2,12.9,2.3,4.5
"Antero Niittymaki","ANTERO.NIITTYMAKI","8467511","09-10","T.B","G","L",1980-06-18,29,1998,6,168,49,2657.2,309.2,1432,395,8.8,-0.8,0.2,-0.5,7.8,1.4,2.7
"Antero Niittymaki","ANTERO.NIITTYMAKI","8467511","10-11","S.J","G","L",1980-06-18,30,1998,6,168,24,1414.5,117.8,682,142,2.3,-4,-0.1,0.5,-1.3,-0.2,-0.4
"Anthony Stolarz","ANTHONY.STOLARZ","8476932","16-17","PHI","G","L",1994-01-20,22,2012,2,45,7,376.1,34.1,195,42,5.1,-0.2,0,-0.1,4.9,0.9,1.8
"Anthony Stolarz","ANTHONY.STOLARZ","8476932","18-19","EDM/PHI","G","L",1994-01-20,24,2012,2,45,18,868.4,79.9,537,74,3.6,0.7,0.1,-0.1,4.2,0.8,1.5
"Anthony Stolarz","ANTHONY.STOLARZ","8476932","19-20","ANA","G","L",1994-01-20,25,2012,2,45,1,58.5,3.2,38,8,0.5,0,0,0,0.5,0.1,0.2
"Anthony Stolarz","ANTHONY.STOLARZ","8476932","20-21","ANA","G","L",1994-01-20,26,2012,2,45,8,396,38.1,259,43,2.2,1.9,0,-0.1,4.1,0.7,1.4
"Anthony Stolarz","ANTHONY.STOLARZ","8476932","21-22","ANA","G","L",1994-01-20,27,2012,2,45,28,1258,124.7,889,165,6.6,5.5,-0.1,0.4,12.3,2.2,4.1
"Antoine Bibeau","ANTOINE.BIBEAU","8477312","16-17","TOR","G","L",1994-05-01,22,2013,6,172,2,120.7,15.7,62,17,0.8,0,0,0.6,1.3,0.2,0.5
"Antoine Bibeau","ANTOINE.BIBEAU","8477312","19-20","COL","G","L",1994-05-01,25,2013,6,172,2,91.8,11.3,49,11,0.9,0,0,0,0.9,0.2,0.3
"Anton Forsberg","ANTON.FORSBERG","8476341","14-15","CBJ","G","L",1992-11-27,21,2011,7,188,5,255.7,24.3,137,37,-2.5,-0.9,0,-0.1,-3.4,-0.7,-1.2
"Anton Forsberg","ANTON.FORSBERG","8476341","15-16","CBJ","G","L",1992-11-27,22,2011,7,188,4,178.2,19.1,96,29,-0.1,0.6,0,0,0.5,0.1,0.2
"Anton Forsberg","ANTON.FORSBERG","8476341","16-17","CBJ","G","L",1992-11-27,23,2011,7,188,1,58.6,2.5,36,1,0.1,0,0,0,0.1,0,0
"Anton Forsberg","ANTON.FORSBERG","8476341","17-18","CHI","G","L",1992-11-27,24,2011,7,188,35,1714.8,111.7,1000,146,-2.9,0.8,0.1,-0.2,-2.3,-0.4,-0.8
"Anton Forsberg","ANTON.FORSBERG","8476341","19-20","CAR","G","L",1992-11-27,26,2011,7,188,3,143.2,12.5,89,9,-1.1,0.1,0,0,-1,-0.2,-0.3
"Anton Forsberg","ANTON.FORSBERG","8476341","20-21","OTT","G","L",1992-11-27,27,2011,7,188,8,384.1,33.3,304,50,0,1.5,0,0,1.5,0.3,0.5
"Anton Forsberg","ANTON.FORSBERG","8476341","21-22","OTT","G","L",1992-11-27,28,2011,7,188,46,2115.1,219.4,1563,310,15.8,9.4,-0.2,0.1,25.1,4.4,8.4
"Anton Khudobin","ANTON.KHUDOBIN","8471418","09-10","MIN","G","L",1986-05-07,23,2004,7,206,2,69.4,9.9,37,18,0.3,0.2,0,0,0.5,0.1,0.2
"Anton Khudobin","ANTON.KHUDOBIN","8471418","10-11","MIN","G","L",1986-05-07,24,2004,7,206,4,188.7,21,88,24,1.2,0.2,0,-0.1,1.3,0.2,0.5
"Anton Khudobin","ANTON.KHUDOBIN","8471418","11-12","BOS","G","L",1986-05-07,25,2004,7,206,1,60,6.1,42,11,0.4,0.1,0,0,0.5,0.1,0.1
"Anton Khudobin","ANTON.KHUDOBIN","8471418","12-13","BOS","G","L",1986-05-07,26,2004,7,206,14,803,91,413,94,-0.2,4.4,-0.4,-0.2,3.6,0.7,1.2
"Anton Khudobin","ANTON.KHUDOBIN","8471418","13-14","CAR","G","L",1986-05-07,27,2004,7,206,36,2084.3,146.3,1299,164,22.7,1.8,0.1,0.1,24.8,4.7,8.8
"Anton Khudobin","ANTON.KHUDOBIN","8471418","14-15","CAR","G","L",1986-05-07,28,2004,7,206,34,1920.3,132.4,1066,141,1,0.8,0.1,0.1,1.9,0.4,0.7
"Anton Khudobin","ANTON.KHUDOBIN","8471418","15-16","ANA","G","L",1986-05-07,29,2004,7,206,9,356.3,34.5,186,54,-1.6,2.5,0,-0.1,0.9,0.2,0.3
"Anton Khudobin","ANTON.KHUDOBIN","8471418","16-17","BOS","G","L",1986-05-07,30,2004,7,206,16,884.8,82,443,87,-2.7,2,-0.1,-0.2,-1,-0.2,-0.4
"Anton Khudobin","ANTON.KHUDOBIN","8471418","17-18","BOS","G","L",1986-05-07,31,2004,7,206,31,1780.7,147.9,948,187,4.9,0.7,0,0.2,5.8,1.1,2.1
"Anton Khudobin","ANTON.KHUDOBIN","8471418","18-19","DAL","G","L",1986-05-07,32,2004,7,206,41,2219.5,172.8,1348,245,18.5,2.3,0,-0.1,20.7,3.9,7.3
"Anton Khudobin","ANTON.KHUDOBIN","8471418","19-20","DAL","G","L",1986-05-07,33,2004,7,206,30,1677.5,150.2,938,196,21,-2.7,-0.3,-0.2,17.9,3.2,6.1
"Anton Khudobin","ANTON.KHUDOBIN","8471418","20-21","DAL","G","L",1986-05-07,34,2004,7,206,32,1489.8,146.8,908,192,3.8,-0.6,-0.1,0,3.1,0.6,1
"Anton Khudobin","ANTON.KHUDOBIN","8471418","21-22","DAL","G","L",1986-05-07,35,2004,7,206,9,383.4,42.6,243,61,-0.6,-2.6,0,-0.1,-3.3,-0.6,-1.1
"Antti Niemi","ANTTI.NIEMI","8474550","08-09","CHI","G","L",1983-08-29,25,2001,NA,NA,3,141.3,16.3,53,18,-0.4,0,0,0,-0.4,-0.1,-0.2
"Antti Niemi","ANTTI.NIEMI","8474550","09-10","CHI","G","L",1983-08-29,26,2001,NA,NA,39,2190.9,176.9,990,214,5,3.7,0.2,-0.3,8.6,1.5,3
"Antti Niemi","ANTTI.NIEMI","8474550","10-11","S.J","G","L",1983-08-29,27,2001,NA,NA,60,3523.9,310.9,1897,389,19.9,-0.7,0.2,-0.3,19,3.4,6.5
"Antti Niemi","ANTTI.NIEMI","8474550","11-12","S.J","G","L",1983-08-29,28,2001,NA,NA,68,3934.1,282.7,2212,336,21.2,-6.9,0.1,-0.4,14,2.4,4.5
"Antti Niemi","ANTTI.NIEMI","8474550","12-13","S.J","G","L",1983-08-29,29,2001,NA,NA,43,2580.8,200.4,1411,228,18.3,3.2,-0.1,0,21.4,4,7.4
"Antti Niemi","ANTTI.NIEMI","8474550","13-14","S.J","G","L",1983-08-29,30,2001,NA,NA,64,3740.3,265.6,1981,304,8.8,-0.8,0.2,-0.3,7.9,1.5,2.8
"Antti Niemi","ANTTI.NIEMI","8474550","14-15","S.J","G","L",1983-08-29,31,2001,NA,NA,61,3587.9,276,2088,352,12.9,-0.2,0.2,-0.2,12.7,2.4,4.6
"Antti Niemi","ANTTI.NIEMI","8474550","15-16","DAL","G","L",1983-08-29,32,2001,NA,NA,48,2654.4,214.6,1461,263,12,-0.7,0,0.1,11.5,2.2,4.2
"Antti Niemi","ANTTI.NIEMI","8474550","16-17","DAL","G","L",1983-08-29,33,2001,NA,NA,37,1728.5,152.3,1004,198,0.7,-1,0.1,0,-0.2,0,-0.1
"Antti Niemi","ANTTI.NIEMI","8474550","17-18","FLA/MTL/PIT","G","L",1983-08-29,34,2001,NA,NA,24,1213.1,110,765,186,14.4,-0.4,0.1,0.2,14.2,2.8,5.3
"Antti Niemi","ANTTI.NIEMI","8474550","18-19","MTL","G","L",1983-08-29,35,2001,NA,NA,17,968.8,74.3,582,107,-8.5,-3.9,0.1,-0.1,-12.5,-2.3,-4.4
"Antti Raanta","ANTTI.RAANTA","8477293","13-14","CHI","G","L",1989-05-12,24,2007,NA,NA,25,1396.7,133.3,643,164,-6.8,2.3,0.1,0.2,-4.2,-0.8,-1.5
"Antti Raanta","ANTTI.RAANTA","8477293","14-15","CHI","G","L",1989-05-12,25,2007,NA,NA,14,792.2,64,422,83,6.9,1.7,0,-0.2,8.5,1.6,3.1
"Antti Raanta","ANTTI.RAANTA","8477293","15-16","NYR","G","L",1989-05-12,26,2007,NA,NA,25,1150.3,82.9,606,98,6.3,1.4,0.1,-0.2,7.6,1.5,2.8
"Antti Raanta","ANTTI.RAANTA","8477293","16-17","NYR","G","L",1989-05-12,27,2007,NA,NA,30,1617.3,127.6,898,149,14.8,-3.5,0.1,0,11.4,2.1,4.2
"Antti Raanta","ANTTI.RAANTA","8477293","17-18","ARI","G","L",1989-05-12,28,2007,NA,NA,47,2599.1,192,1677,270,29,5.1,0.2,0.5,34.8,6.8,13
"Antti Raanta","ANTTI.RAANTA","8477293","18-19","ARI","G","L",1989-05-12,29,2007,NA,NA,12,687.1,71.8,415,76,4.2,2,0,-0.1,6.1,1.1,2.2
"Antti Raanta","ANTTI.RAANTA","8477293","19-20","ARI","G","L",1989-05-12,30,2007,NA,NA,33,1822.9,152.4,1179,175,12.4,5.6,-0.1,-0.2,17.8,3.2,6.1
"Antti Raanta","ANTTI.RAANTA","8477293","20-21","ARI","G","L",1989-05-12,31,2007,NA,NA,12,556.1,65.2,435,97,4.5,2.5,0,-0.1,6.9,1.2,2.3
"Antti Raanta","ANTTI.RAANTA","8477293","21-22","CAR","G","L",1989-05-12,32,2007,NA,NA,28,1252.8,136,812,118,12.5,0.9,0.1,0,13.5,2.4,4.5
